nohup: ignoring input
Recording WAVE 'data_temp/Audios/2025-08-20_19-12-02.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-13-02.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-14-02.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-15-02.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-16-02.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-17-02.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-18-02.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-19-02.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-20-02.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-21-02.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-22-02.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-23-02.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-24-02.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-25-02.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-26-02.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-27-02.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-28-03.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-29-03.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-30-03.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-31-03.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-32-03.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-33-03.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-34-03.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-35-03.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-36-03.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-37-03.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-38-03.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-39-03.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-40-03.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-41-04.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-42-04.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-43-04.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-44-04.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-45-04.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-46-04.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-47-04.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-48-04.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-49-04.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-50-04.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-51-04.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-52-05.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-53-05.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-54-05.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-55-05.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-56-05.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-57-05.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-58-05.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_19-59-05.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-00-05.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-01-05.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-02-05.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-03-05.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-04-05.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-05-05.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-06-05.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-07-05.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-08-05.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-09-06.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-10-06.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-11-06.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-12-06.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-13-06.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-14-06.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-15-06.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-16-06.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-17-06.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-18-07.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-19-07.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-20-07.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-21-07.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-22-07.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-23-07.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-24-07.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-25-07.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-26-07.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-27-07.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-28-07.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-29-08.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-30-08.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-31-08.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-32-08.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-33-08.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-34-08.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-35-08.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-36-08.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-37-08.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-38-08.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-39-08.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-40-08.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-41-08.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-42-08.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-43-09.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-44-09.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-45-09.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-46-09.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-47-09.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-48-09.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-49-09.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-50-09.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-51-09.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-52-09.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-53-09.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-54-10.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-55-10.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-56-10.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-57-10.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-58-10.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
Recording WAVE 'data_temp/Audios/2025-08-20_20-59-10.wav' : Signed 16 bit Little Endian, Rate 44100 Hz, Stereo
